source_doc,source_prov,kind,cited_ref,cited_doc,cited_prov,cited_in_corpus,count,source_text
ISO_IEC_42001_AI_Management_System,Bagian 13,named,EU AI Act,EU_AI_Act_2024,,True,2,"Regulatory Compliance and Legal Framework: With increasing legal oversight and regulations on AI applications, ISO/IEC 42001:2023 facilitates companies’ compliance with these regulations. Regulatory texts such as the European Union’s Artificial Intelligence Act (AI Act) [8] mandate the ethical and fair use of AI systems. As an integrated management system, ISO/IEC 42001:2023 works in conjunction with information security standards like ISO/IEC 27001:2022 to minimize legal risks. By reducing legal risks, companies can avoid legal sanctions and protect their reputations through adherence to these standards."
ISO_IEC_42001_AI_Management_System,Bagian 26,named,GDPR (EU 2016/679),,,False,1,"Regulatory Compliance and Legal Uncertainties: ISO/IEC 42001:2023 requires AI systems to comply with local and international regulations [8, 16]. Challenges arise from rapidly evolving regulations and the need to comply with multiple jurisdictions. While AI technologies advance quickly, regulatory frameworks often lag, creating legal uncertainties for organizations. Companies operating globally must navigate diverse regulatory environments, especially concerning data privacy and algorithmic transparency. The EU’s GDPR and the recently enforced AI Act are prime examples of regulations organizations must address to ensure compliance."
ISO_IEC_42001_AI_Management_System,Bagian 26,named,EU AI Act,EU_AI_Act_2024,,True,1,"Regulatory Compliance and Legal Uncertainties: ISO/IEC 42001:2023 requires AI systems to comply with local and international regulations [8, 16]. Challenges arise from rapidly evolving regulations and the need to comply with multiple jurisdictions. While AI technologies advance quickly, regulatory frameworks often lag, creating legal uncertainties for organizations. Companies operating globally must navigate diverse regulatory environments, especially concerning data privacy and algorithmic transparency. The EU’s GDPR and the recently enforced AI Act are prime examples of regulations organizations must address to ensure compliance."
OECD_AI_Principles_2024,Bagian 3,named,G20 AI Principles,,,False,1,"The Recommendation on Artificial Intelligence (AI) (hereafter the “Recommendation”) – the first intergovernmental standard on AI – was adopted by the OECD Council meeting at Ministerial level on 22 May 2019 on the proposal of the Digital Policy Committee (DPC, formerly the Committee on Digital Economy Policy, CDEP). The Recommendation aims to foster innovation and trust in AI by promoting the responsible stewardship of trustworthy AI while ensuring respect for human rights and democratic values. In June 2019, at the Osaka Summit, G20 Leaders welcomed the G20 AI Principles, drawn from the Recommendation."
OECD_AI_Principles_2024,Bagian 17,named,Council of Europe Framework Convention on AI,Council_of_Europe_Framework_Convention_on_AI_CETS225,,True,1,"In addition to reporting to the Council on the implementation of the Recommendation, the DPC is also instructed to continue its work on AI, building on this Recommendation, and taking into account work in other international fora, such as UNESCO, the European Union, the Council of Europe and the initiative to build an International Panel on AI (see https://pm.gc.ca/eng/news/2018/12/06/mandate- international-panel-artificial- intelligence and https://www.gouvernement.fr/en/france-and-canada- create-new-expert-international-panel-on- artificial-intelligence). In order to support implementation of the Recommendation, the Council instructed the DPC to develop practical guidance for implementation, to provide a forum for exchanging information on AI policy and activities, and to foster multi-stakeholder and interdisciplinary dialogue."
OECD_AI_Principles_2024,Bagian 20,named,Universal Declaration of Human Rights,,,False,1,"OECD/LEGAL/0449_____________________________________________________________________________________________6 THE COUNCIL, HAVING REGARD to Article 5 b) of the Convention on the Organisation for Economic Co-operation and Development of 14 December 1960; HAVING REGARD to standards developed by the OECD in the areas of privacy, digital security, consumer protection and responsible business conduct; HAVING REGARD to the Sustainable Development Goals set out in the 2030 Agenda for Sustainable Development adopted by the United Nations General Assembly (A/RES/70/1) as well as the 1948 Universal Declaration of Human Rights; HAVING REGARD to the important work being carried out on artificial intelligence (hereafter, “AI”) in other international governmental and non-governmental fora; RECOGNISING that AI has pervasive, far-reaching and global implications that are transforming societies, economic sectors and the world of work, and are likely to increasingly do so in the future;"
OECD_AI_Principles_2024,Bagian 20,named,Sustainable Development Goals (2030 Agenda),,,False,2,"OECD/LEGAL/0449_____________________________________________________________________________________________6 THE COUNCIL, HAVING REGARD to Article 5 b) of the Convention on the Organisation for Economic Co-operation and Development of 14 December 1960; HAVING REGARD to standards developed by the OECD in the areas of privacy, digital security, consumer protection and responsible business conduct; HAVING REGARD to the Sustainable Development Goals set out in the 2030 Agenda for Sustainable Development adopted by the United Nations General Assembly (A/RES/70/1) as well as the 1948 Universal Declaration of Human Rights; HAVING REGARD to the important work being carried out on artificial intelligence (hereafter, “AI”) in other international governmental and non-governmental fora; RECOGNISING that AI has pervasive, far-reaching and global implications that are transforming societies, economic sectors and the world of work, and are likely to increasingly do so in the future;"
POJK_No3_2024_Inovasi_Teknologi_Keuangan,Pasal 9,pasal_internal,Pasal 2,POJK_No3_2024_Inovasi_Teknologi_Keuangan,Pasal 2,True,1,"(1) Calon Peserta yang akan melakukan kegiatan dalam ruang lingkup sebagaimana dimaksud dalam Pasal 2 dan bermaksud mengikuti Sandbox harus mengajukan permohonan menjadi Peserta kepada Otoritas Jasa Keuangan. (2) Calon Peserta yang merupakan LJK sebagaimana dimaksud dalam Pasal 8 ayat (1) huruf a harus mendapatkan rekomendasi dari pengawas terkait di Otoritas Jasa Keuangan. (3) Otoritas Jasa Keuangan berwenang mewajibkan pihak yang menyelenggarakan ITSK sebagaimana dimaksud dalam Pasal 3 ayat (1) untuk mengajukan permohonan menjadi Peserta kepada Otoritas Jasa Keuangan. (4) Permohonan sebagaimana dimaksud pada ayat (1) dan ayat (3) harus disertai dengan formulir permohonan mengikuti Sandbox, Rencana Pengujian, dan dokumen pendukung. (5) Rencana Pengujian sebagaimana dimaksud pada ayat c. b. (4) paling sedikit mencakup: a. penjelasan atas inovasi produk, aktivitas, layanan, dan/atau model bisnis yang akan diuji coba dan dikembangkan; identifikasi potensi risiko atas inovasi produk, aktivitas, layanan, dan/atau model bisnis yang akan diuji coba dan dikembangkan; rencana implementasi mitigasi risiko atas potensi risiko sebagaimana dimaksud dalam huruf b; d. batasan pelaksanaan uji coba dan pengembangan inovasi yang mencakup jangka waktu pengujian yang dibutuhkan, target dan profil Konsumen, jumlah Konsumen, mitra uji coba dan pengembangan, jumlah transaksi, dan batasan lainnya yang dapat diukur; kerangka Pelindungan Konsumen yang mencakup paling sedikit layanan pengaduan Konsumen dan mekanisme ganti rugi; kesiapan permodalan dan sumber daya untuk melakukan uji coba dan pengemb"
POJK_No3_2024_Inovasi_Teknologi_Keuangan,Pasal 9,pasal_internal,Pasal 8 ayat (1) huruf a,POJK_No3_2024_Inovasi_Teknologi_Keuangan,Pasal 8,True,1,"(1) Calon Peserta yang akan melakukan kegiatan dalam ruang lingkup sebagaimana dimaksud dalam Pasal 2 dan bermaksud mengikuti Sandbox harus mengajukan permohonan menjadi Peserta kepada Otoritas Jasa Keuangan. (2) Calon Peserta yang merupakan LJK sebagaimana dimaksud dalam Pasal 8 ayat (1) huruf a harus mendapatkan rekomendasi dari pengawas terkait di Otoritas Jasa Keuangan. (3) Otoritas Jasa Keuangan berwenang mewajibkan pihak yang menyelenggarakan ITSK sebagaimana dimaksud dalam Pasal 3 ayat (1) untuk mengajukan permohonan menjadi Peserta kepada Otoritas Jasa Keuangan. (4) Permohonan sebagaimana dimaksud pada ayat (1) dan ayat (3) harus disertai dengan formulir permohonan mengikuti Sandbox, Rencana Pengujian, dan dokumen pendukung. (5) Rencana Pengujian sebagaimana dimaksud pada ayat c. b. (4) paling sedikit mencakup: a. penjelasan atas inovasi produk, aktivitas, layanan, dan/atau model bisnis yang akan diuji coba dan dikembangkan; identifikasi potensi risiko atas inovasi produk, aktivitas, layanan, dan/atau model bisnis yang akan diuji coba dan dikembangkan; rencana implementasi mitigasi risiko atas potensi risiko sebagaimana dimaksud dalam huruf b; d. batasan pelaksanaan uji coba dan pengembangan inovasi yang mencakup jangka waktu pengujian yang dibutuhkan, target dan profil Konsumen, jumlah Konsumen, mitra uji coba dan pengembangan, jumlah transaksi, dan batasan lainnya yang dapat diukur; kerangka Pelindungan Konsumen yang mencakup paling sedikit layanan pengaduan Konsumen dan mekanisme ganti rugi; kesiapan permodalan dan sumber daya untuk melakukan uji coba dan pengemb"
POJK_No3_2024_Inovasi_Teknologi_Keuangan,Pasal 9,pasal_internal,Pasal 3 ayat (1),POJK_No3_2024_Inovasi_Teknologi_Keuangan,Pasal 3,True,1,"(1) Calon Peserta yang akan melakukan kegiatan dalam ruang lingkup sebagaimana dimaksud dalam Pasal 2 dan bermaksud mengikuti Sandbox harus mengajukan permohonan menjadi Peserta kepada Otoritas Jasa Keuangan. (2) Calon Peserta yang merupakan LJK sebagaimana dimaksud dalam Pasal 8 ayat (1) huruf a harus mendapatkan rekomendasi dari pengawas terkait di Otoritas Jasa Keuangan. (3) Otoritas Jasa Keuangan berwenang mewajibkan pihak yang menyelenggarakan ITSK sebagaimana dimaksud dalam Pasal 3 ayat (1) untuk mengajukan permohonan menjadi Peserta kepada Otoritas Jasa Keuangan. (4) Permohonan sebagaimana dimaksud pada ayat (1) dan ayat (3) harus disertai dengan formulir permohonan mengikuti Sandbox, Rencana Pengujian, dan dokumen pendukung. (5) Rencana Pengujian sebagaimana dimaksud pada ayat c. b. (4) paling sedikit mencakup: a. penjelasan atas inovasi produk, aktivitas, layanan, dan/atau model bisnis yang akan diuji coba dan dikembangkan; identifikasi potensi risiko atas inovasi produk, aktivitas, layanan, dan/atau model bisnis yang akan diuji coba dan dikembangkan; rencana implementasi mitigasi risiko atas potensi risiko sebagaimana dimaksud dalam huruf b; d. batasan pelaksanaan uji coba dan pengembangan inovasi yang mencakup jangka waktu pengujian yang dibutuhkan, target dan profil Konsumen, jumlah Konsumen, mitra uji coba dan pengembangan, jumlah transaksi, dan batasan lainnya yang dapat diukur; kerangka Pelindungan Konsumen yang mencakup paling sedikit layanan pengaduan Konsumen dan mekanisme ganti rugi; kesiapan permodalan dan sumber daya untuk melakukan uji coba dan pengemb"
POJK_No3_2024_Inovasi_Teknologi_Keuangan,Pasal 10,pasal_internal,Pasal 9 ayat (5),POJK_No3_2024_Inovasi_Teknologi_Keuangan,Pasal 9,True,2,"(1) Kriteria kelayakan inovasi untuk mengikuti Sandbox meliputi: a. inovasi yang memiliki cakupan ruang lingkup pada sektor jasa keuangan yang akan digunakan oleh Konsumen, mitra, dan/atau masyarakat di Indonesia; inovasi yang memenuhi unsur kebaruan dan/atau memiliki unsur pembeda signifikan dengan yang telah dilakukan sebelumnya di sektor keuangan; inovasi yang memberikan manfaat, meningkatkan pelayanan, dan memberikan nilai tambah kepada Konsumen, masyarakat, dan/atau ekosistem sektor keuangan; inovasi yang telah siap untuk dilakukan pengujian dan pengembangan; inovasi yang memerlukan dukungan uji coba dan pengembangan, dilakukan pengaturan dan pengawasan sebelumnya dalam ketentuan yang berlaku di sektor keuangan; dan kriteria lain yang ditetapkan oleh Otoritas Jasa Keuangan. belum serta b. c. d. e. f. kriteria kelayakan (2) Otoritas Jasa Keuangan memberikan persetujuan atau penolakan permohonan menjadi Peserta dengan memerhatikan sebagaimana dimaksud pada ayat (1) dan Rencana Pengujian sebagaimana dimaksud dalam Pasal 9 ayat (5) serta pertimbangan lain dari Otoritas Jasa Keuangan. (3) Persetujuan atau penolakan sebagaimana dimaksud pada ayat (2) dilakukan setelah dokumen sebagaimana dimaksud dalam Pasal 9 ayat (4) diterima dengan lengkap. (4) Persetujuan atau penolakan sebagaimana dimaksud pada ayat (2) disampaikan kepada calon Peserta melalui surat yang diterbitkan oleh Otoritas Jasa Keuangan. (5) Persetujuan untuk mengikuti Sandbox bukan merupakan izin usaha untuk melakukan operasional bisnis secara penuh di sektor jasa keuangan. (6) Ketentuan lebih mengenai kr"
POJK_No3_2024_Inovasi_Teknologi_Keuangan,Pasal 11,pasal_internal,Pasal 10 ayat (2),POJK_No3_2024_Inovasi_Teknologi_Keuangan,Pasal 10,True,1,"(1) Proses uji coba dan pengembangan inovasi dalam Sandbox dimulai sejak diberikannya persetujuan menjadi Peserta oleh Otoritas Jasa Keuangan sebagaimana dimaksud dalam Pasal 10 ayat (2). (2) Peserta sebagaimana dimaksud pada ayat (1) wajib melakukan uji coba dan pengembangan inovasi sesuai Rencana Pengujian yang disampaikan kepada Otoritas Jasa Keuangan. (3) Peserta sebagaimana dimaksud pada ayat (1) wajib memenuhi ketentuan: a. memberitahukan kepada Otoritas Jasa Keuangan setiap terdapat perubahan yang terkait dengan ITSK dan Peserta; b. membuka setiap informasi dan/atau dokumen yang berkaitan dengan pelaksanaan Sandbox kepada Otoritas Jasa Keuangan; dan c. mengikuti setiap kegiatan yang berkaitan dengan pelaksanaan Sandbox. (4) Peserta sebagaimana dimaksud pada ayat (1) dapat: a. mengikuti setiap pelaksanaan koordinasi dan kerjasama dengan otoritas, kementerian, lembaga, dan pihak lainnya yang berkaitan dengan pelaksanaan Sandbox; dan b. melakukan koordinasi dan/atau kerja sama lainnya yang dengan LJK dan/atau pihak berkaitan dengan pelaksanaan Sandbox di bawah koordinasi Otoritas Jasa Keuangan. (5) Peserta sebagaimana dimaksud pada ayat (1) wajib menyampaikan laporan hasil pelaksanaan uji coba dan pengembangan inovasi sebagaimana dimaksud pada ayat (2) secara berkala dan/atau sewaktu-waktu kepada Otoritas Jasa Keuangan. (6) Otoritas Jasa Keuangan melakukan pemantauan atas laporan yang disampaikan oleh Peserta sebagaimana dimaksud pada ayat (5). (7) Pemantauan sebagaimana dimaksud pada ayat (6) dilakukan secara: a. b. c. metode pemantauan lainnya. tidak langsung; langsun"
POJK_No3_2024_Inovasi_Teknologi_Keuangan,Pasal 13,pasal_internal,Pasal 10 ayat (2),POJK_No3_2024_Inovasi_Teknologi_Keuangan,Pasal 10,True,2,"(1) Pelaksanaan uji coba dan pengembangan inovasi dalam Sandbox dilaksanakan dalam jangka waktu paling lama 1 (satu) tahun sejak persetujuan diberikan oleh Otoritas Jasa Keuangan sebagaimana dimaksud dalam Pasal 10 ayat (2). (2) Otoritas Jasa Keuangan berwenang menetapkan jangka waktu uji coba dan pengembangan inovasi yang berbeda dari jangka waktu sebagaimana dimaksud pada ayat (1). (3) Otoritas Jasa Keuangan berwenang menghentikan proses uji coba dan pengembangan inovasi sebelum jangka waktu sebagaimana dimaksud pada ayat (1) dan ayat (2) berakhir, apabila terdapat ketidaksesuaian dengan kriteria sebagaimana dimaksud dalam Pasal 10 ayat (1). (4) Peserta wajib menyampaikan akhir pelaksanaan uji coba dan pengembangan inovasi paling lambat 20 (dua puluh) hari kerja sebelum jangka waktu uji coba dan pengembangan inovasi sebagaimana dimaksud pada ayat (1) atau ayat (2) berakhir. laporan (5) Laporan akhir sebagaimana dimaksud pada ayat (4) paling sedikit mencakup: a. hasil uji coba dan pengembangan atas skenario uji coba dan pengembangan inovasi sebagaimana dimaksud dalam Pasal 9 ayat (5) huruf h; b. pemenuhan indikator kinerja utama sebagaimana c. dimaksud dalam Pasal 9 ayat (5) huruf i; identifikasi atas uji coba dan pengembangan inovasi yang gagal dan insiden yang terjadi selama uji coba dan pengembangan; d. asesmen kepatuhan Peserta atas ketentuan e. peraturan perundang-undangan; dan rencana tindak Peserta setelah berakhirnya jangka waktu uji coba dan pengembangan. (6) Ketentuan lebih laporan akhir pelaksanaan uji coba dan pengembangan inovasi ditetapkan oleh Otorita"
POJK_No3_2024_Inovasi_Teknologi_Keuangan,Pasal 13,pasal_internal,Pasal 9 ayat (5) huruf h,POJK_No3_2024_Inovasi_Teknologi_Keuangan,Pasal 9,True,2,"(1) Pelaksanaan uji coba dan pengembangan inovasi dalam Sandbox dilaksanakan dalam jangka waktu paling lama 1 (satu) tahun sejak persetujuan diberikan oleh Otoritas Jasa Keuangan sebagaimana dimaksud dalam Pasal 10 ayat (2). (2) Otoritas Jasa Keuangan berwenang menetapkan jangka waktu uji coba dan pengembangan inovasi yang berbeda dari jangka waktu sebagaimana dimaksud pada ayat (1). (3) Otoritas Jasa Keuangan berwenang menghentikan proses uji coba dan pengembangan inovasi sebelum jangka waktu sebagaimana dimaksud pada ayat (1) dan ayat (2) berakhir, apabila terdapat ketidaksesuaian dengan kriteria sebagaimana dimaksud dalam Pasal 10 ayat (1). (4) Peserta wajib menyampaikan akhir pelaksanaan uji coba dan pengembangan inovasi paling lambat 20 (dua puluh) hari kerja sebelum jangka waktu uji coba dan pengembangan inovasi sebagaimana dimaksud pada ayat (1) atau ayat (2) berakhir. laporan (5) Laporan akhir sebagaimana dimaksud pada ayat (4) paling sedikit mencakup: a. hasil uji coba dan pengembangan atas skenario uji coba dan pengembangan inovasi sebagaimana dimaksud dalam Pasal 9 ayat (5) huruf h; b. pemenuhan indikator kinerja utama sebagaimana c. dimaksud dalam Pasal 9 ayat (5) huruf i; identifikasi atas uji coba dan pengembangan inovasi yang gagal dan insiden yang terjadi selama uji coba dan pengembangan; d. asesmen kepatuhan Peserta atas ketentuan e. peraturan perundang-undangan; dan rencana tindak Peserta setelah berakhirnya jangka waktu uji coba dan pengembangan. (6) Ketentuan lebih laporan akhir pelaksanaan uji coba dan pengembangan inovasi ditetapkan oleh Otorita"
POJK_No3_2024_Inovasi_Teknologi_Keuangan,Pasal 15,pasal_internal,Pasal 14 ayat (2) huruf a,POJK_No3_2024_Inovasi_Teknologi_Keuangan,Pasal 14,True,2,"(1) Otoritas Jasa Keuangan menyampaikan surat lulus kepada Peserta yang dinyatakan lulus sebagaimana dimaksud dalam Pasal 14 ayat (2) huruf a. (2) Peserta yang dinyatakan lulus sebagaimana dimaksud dalam Pasal 14 ayat (2) huruf a harus mengajukan izin usaha kepada Otoritas Jasa Keuangan dalam masa berlaku surat lulus. (3) Surat lulus sebagaimana dimaksud pada ayat (2) berlaku 6 (enam) bulan dan dapat diperpanjang berdasarkan pertimbangan Otoritas Jasa Keuangan. (4) Peserta tetap dapat melakukan kegiatan operasional bisnis terbatas sebagaimana dalam batasan Sandbox lulus sebagaimana selama masa berlaku surat dimaksud pada ayat (3). (5) Surat lulus sebagaimana dimaksud pada ayat (1) bukan merupakan izin usaha untuk melakukan operasional bisnis secara penuh di sektor jasa keuangan. (6) Dalam hal Peserta sebagaimana dimaksud pada ayat (2) tidak mengajukan permohonan izin usaha sebagaimana dimaksud pada ayat (2) hingga melewati masa berlaku surat lulus dan tidak diperpanjang oleh Otoritas Jasa Keuangan, status lulus dengan sendirinya berakhir dan dinyatakan tidak berlaku. (7) Apabila masa berlaku surat lulus sebagaimana dimaksud pada ayat (3) telah berakhir, dan Peserta belum mengajukan izin usaha kepada Otoritas Jasa Keuangan, Peserta wajib: a. menghentikan kegiatan operasional bisnis, inovasi produk, aktivitas, dan layanan yang menggunakan model bisnis yang diuji coba dan dikembangkan dalam Sandbox; b. menyelesaikan seluruh kewajibannya kepada Konsumen dan pihak lainnya; dan c. menjalankan exit policy yang tercantum dalam Rencana Pengujian sebagaimana dimaksud dalam"
POJK_No3_2024_Inovasi_Teknologi_Keuangan,Pasal 16,pasal_internal,Pasal 14 ayat (2) huruf a,POJK_No3_2024_Inovasi_Teknologi_Keuangan,Pasal 14,True,1,(1) Otoritas Jasa Keuangan dapat menentukan Peserta yang lulus sebagaimana dimaksud dalam Pasal 14 ayat (2) huruf a untuk melakukan pendaftaran sebelum mengajukan izin usaha berdasarkan pertimbangan yang dilakukan oleh Otoritas Jasa Keuangan. (2) Peserta sebagaimana dimaksud pada ayat (1) wajib menyampaikan dokumen paling sedikit terkait aspek: a. kelembagaan dan tata kelola; b. model bisnis; c. d. kemitraan. teknologi informasi; dan (3) Pihak yang memiliki jenis ITSK yang sama dengan jenis ITSK Peserta sebagaimana dimaksud pada ayat (1) mempunyai hak yang sama untuk mengajukan permohonan pendaftaran kepada Otoritas Jasa Keuangan. (4) Ketentuan mengenai mekanisme pendaftaran ditetapkan oleh Otoritas Jasa Keuangan.
POJK_No3_2024_Inovasi_Teknologi_Keuangan,Pasal 19,pasal_internal,Pasal 11 ayat (2),POJK_No3_2024_Inovasi_Teknologi_Keuangan,Pasal 11,True,1,"(1) Pelanggaran terhadap ketentuan sebagaimana dimaksud dalam Pasal 11 ayat (2), ayat (3), ayat (5),"
